"border","range","column","plot","Block","Accession","Source","Mother","Father","Kernel.Count","type"
NA,"07","24","0722","4","B37 x Mo17 WT","","CMI23FGH-065.45","CMI23FGH-067.05","40k",NA
NA,"07","25","0723","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"07","26","0724","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"08","01","0801","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"08","02","0802","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"08","03","0803","1","B73 x H99","#0034857","B73","H99","40k",NA
NA,"08","04","0804","1","B73 x H99","#0034857","B73","H99","40k",NA
NA,"08","05","0805","1","B73 x H99","#0034858","B73","H99","40k",NA
NA,"08","06","0806","1","B73 x H99","#0034858","B73","H99","40k",NA
NA,"08","07","0807","2","P1197","","P1197","P1197","40K",NA
NA,"08","08","0808","2","P1197","","P1197","P1197","40K",NA
NA,"08","09","0809","2","P1197","","P1197","P1197","40K",NA
NA,"08","10","0810","2","P1197","","P1197","P1197","40K",NA
NA,"08","11","0811","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"08","12","0812","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"08","15","0813","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"08","16","0814","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"08","17","0815","1","B37 x Mo17 pip1;5","","CMI23FGH-068.29","CMI23FGH-070.09","40k",NA
NA,"08","18","0816","1","B37 x Mo17 pip1;5","","CMI23FGH-068.29","CMI23FGH-070.09","40k",NA
NA,"08","19","0817","1","B37 x Mo17 pip1;5","","CMI23FGH-068.29","CMI23FGH-070.09","40k",NA
NA,"08","20","0818","1","B37 x Mo17 pip1;5","","CMI23FGH-068.29","CMI23FGH-070.09","40k",NA
NA,"08","21","0819","4","B37 x Oh43 WT","","CMI23FGH-065.03","CMI23FGH-066.02","40k",NA
NA,"08","22","0820","4","B37 x Oh43 WT","","CMI23FGH-065.03","CMI23FGH-066.02","40k",NA
NA,"08","23","0821","4","B37 x Oh43 WT","","CMI23FGH-065.03","CMI23FGH-066.02","40k",NA
NA,"08","24","0822","4","B37 x Oh43 WT","","CMI23FGH-065.03","CMI23FGH-066.02","40k",NA
NA,"08","25","0823","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"08","26","0824","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"09","01","0901","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"09","02","0902","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"09","03","0903","1","P1151","","P1151","P1151","40k",NA
NA,"09","04","0904","1","P1151","","P1151","P1151","40k",NA
NA,"09","05","0905","1","P1151","","P1151","P1151","40k",NA
NA,"09","06","0906","1","P1151","","P1151","P1151","40k",NA
NA,"09","07","0907","2","B73 x H99 slac1","#0034869","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"09","08","0908","2","B73 x H99 slac1","#0034869","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"09","09","0909","2","B73 x H99 slac1","#0034869","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"09","10","0910","2","B73 x H99 slac1","#0034869","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"09","11","0911","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"09","12","0912","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"09","15","0913","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"09","16","0914","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"09","17","0915","1","B37 x Mo17 WT","","CMI23FGH-065.45","CMI23FGH-067.05","40k",NA
NA,"09","18","0916","1","B37 x Mo17 WT","","CMI23FGH-065.45","CMI23FGH-067.05","40k",NA
