border,range,column,plot,Block,Accession,Source,Mother,Father,Kernel Count
,7,23,723,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,7,24,724,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,8,1,801,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,8,2,802,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,8,3,803,1,B73 x H99,#0034857,B73,H99,40k
,8,4,804,1,B73 x H99,#0034857,B73,H99,40k
,8,5,805,1,B73 x H99,#0034858,B73,H99,40k
,8,6,806,1,B73 x H99,#0034858,B73,H99,40k
,8,7,807,2,P1197,,P1197,P1197,40K
,8,8,808,2,P1197,,P1197,P1197,40K
,8,9,809,2,P1197,,P1197,P1197,40K
,8,10,810,2,P1197,,P1197,P1197,40K
,8,11,811,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,8,12,812,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,8,13,813,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,8,14,814,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,8,15,815,1,B37 x Mo17 pip1;5,,CMI23FGH-068.29,CMI23FGH-070.09,40k
,8,16,816,1,B37 x Mo17 pip1;5,,CMI23FGH-068.29,CMI23FGH-070.09,40k
,8,17,817,1,B37 x Mo17 pip1;5,,CMI23FGH-068.29,CMI23FGH-070.09,40k
,8,18,818,1,B37 x Mo17 pip1;5,,CMI23FGH-068.29,CMI23FGH-070.09,40k
,8,19,819,4,B37 x Oh43 WT,,CMI23FGH-065.03,CMI23FGH-066.02,40k
,8,20,820,4,B37 x Oh43 WT,,CMI23FGH-065.03,CMI23FGH-066.02,40k
,8,21,821,4,B37 x Oh43 WT,,CMI23FGH-065.03,CMI23FGH-066.02,40k
,8,22,822,4,B37 x Oh43 WT,,CMI23FGH-065.03,CMI23FGH-066.02,40k
,8,23,823,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,8,24,824,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,9,1,901,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
